residu_rho,residu_rhou,residu_rhov
1.016457462025235209e-02,1.977185217130400519e-02,3.662263350567031561e-01
9.128574860882029268e-03,1.342315962602074440e-02,2.821606653203798665e-01
6.135855259164161440e-03,1.334806520971725148e-02,1.773518338239971626e-01
4.628793207241606658e-03,1.090604962501084442e-02,1.658860586942579318e-01
4.328458552285924764e-03,8.036894209473044101e-03,1.331995819758035882e-01
3.934688516334160745e-03,6.978156832279789473e-03,1.203083755545836103e-01
3.516648905705600184e-03,6.194928095153953880e-03,1.030634027734152053e-01
3.075745967100437014e-03,5.725623418483562037e-03,9.332376456945543075e-02
2.752773230817987579e-03,5.164630112613615397e-03,7.844823932129657562e-02
2.460550556136130353e-03,4.366671978894148820e-03,6.911896589305377425e-02
2.235086270926106046e-03,3.911466151889575298e-03,6.012652050823680955e-02
2.013136559400937036e-03,3.459853842308424979e-03,5.371427032858254458e-02
1.829185834619186796e-03,3.198822285502899571e-03,4.786061347536408467e-02
1.671670649310538163e-03,2.929749064947418692e-03,4.318821036380984107e-02
1.536825516387460696e-03,2.745028815240502761e-03,3.909194306082050541e-02
1.415339955861584812e-03,2.554132517274009841e-03,3.585485369380847498e-02
1.306875668403076037e-03,2.428531446825862600e-03,3.282637420639896580e-02
1.213482942626532054e-03,2.276099890238455180e-03,3.022116589475647846e-02
1.131321876322850676e-03,2.159755313385397241e-03,2.773353887511542659e-02
1.055741526508024476e-03,2.017695816741136867e-03,2.565904248633330345e-02
9.868727446631182440e-04,1.908135205155528239e-03,2.373005221299945983e-02
9.253040322352140126e-04,1.794413239149551852e-03,2.208631732329418770e-02
8.712582494304928335e-04,1.707297124554451370e-03,2.056335679803035846e-02
8.241495822423024805e-04,1.623005077086542292e-03,1.926136328376583037e-02
7.836004636860653119e-04,1.550226737351840210e-03,1.809857428954543199e-02
7.484013642122299206e-04,1.483656499618018045e-03,1.707005095995507010e-02
7.174526056595454532e-04,1.423367174170276543e-03,1.614125999735091521e-02
6.895660852142321186e-04,1.371344513766891695e-03,1.529439564960526077e-02
6.643917543070318368e-04,1.325308761910807751e-03,1.454136409463359370e-02
6.410820403265451214e-04,1.285434224748839343e-03,1.385742328045460291e-02
6.196921835512973461e-04,1.248606297575907253e-03,1.325600392674928206e-02
5.993897056004555361e-04,1.215216425215428922e-03,1.271069859193356584e-02
5.800355961454417260e-04,1.183378908311213907e-03,1.222393277209381755e-02
5.612046794320355242e-04,1.153542250259064579e-03,1.177491431077619909e-02
5.429822579178219871e-04,1.124918932871720768e-03,1.136369993164386590e-02
5.253306984029105500e-04,1.098180840216504911e-03,1.097818385229607646e-02
5.084362145346273901e-04,1.072886932932639453e-03,1.061780122589037201e-02
4.923520463954566412e-04,1.049199406561615762e-03,1.027588248982977404e-02
4.771933077726423292e-04,1.026665109362077727e-03,9.952419999245527144e-03
4.629609838627865960e-04,1.005266449526685509e-03,9.644425571814293704e-03
4.496432703689216999e-04,9.848118657903345407e-04,9.351957703522402812e-03
4.371678261483053895e-04,9.653547603329462080e-04,9.073667396865716175e-03
4.254765353482690146e-04,9.468974531333777551e-04,8.809554269612012226e-03
4.144896910920237046e-04,9.294592319711705635e-04,8.559119163985436790e-03
4.041383656250325954e-04,9.130039220145436119e-04,8.322120692242477441e-03
3.943480290445484362e-04,8.974697885450296430e-04,8.097900125560846332e-03
3.850573358979904760e-04,8.827777182145262174e-04,7.885889640176778001e-03
3.762108452025455705e-04,8.688506036366927185e-04,7.685279176665172664e-03
3.677683670377355249e-04,8.556062145216716602e-04,7.495230001427836443e-03
3.596987623931097275e-04,8.429718618740301289e-04,7.314719028234857937e-03
3.519809384601070438e-04,8.308746639692519758e-04,7.142797004327722417e-03
3.445977491169383835e-04,8.192576153651066288e-04,6.978551443858049645e-03
3.375349806249165123e-04,8.080725992063652555e-04,6.821259934199705097e-03
3.307772912686251393e-04,7.972826751504734659e-04,6.670352747058939935e-03
3.243077652693860790e-04,7.868697157663886955e-04,6.525476221993342651e-03
3.181073069414396947e-04,7.768149976819491197e-04,6.386406308282021292e-03
3.121562061441426742e-04,7.671030228371333252e-04,6.253017016869192278e-03
3.064353624283583507e-04,7.577208250679056279e-04,6.125187240626750983e-03
3.009280016849516059e-04,7.486562697006992695e-04,6.002760014065245710e-03
2.956202129935306551e-04,7.398996776334816877e-04,5.885497068619652446e-03
2.905013489311788480e-04,7.314412223554303928e-04,5.773081140841325801e-03
2.855635066738289947e-04,7.232718919606511126e-04,5.665120487296162674e-03
2.808009607210403685e-04,7.153831306693947834e-04,5.561176344703918327e-03
2.762093296917684311e-04,7.077667083077154040e-04,5.460790377028715628e-03
2.717848211116680917e-04,7.004142021472831853e-04,5.363517747742634241e-03
2.675234670660726465e-04,6.933160975971826420e-04,5.268953271176661686e-03
2.634205385945705222e-04,6.864614578510085975e-04,5.176751608144025858e-03
2.594701426836806607e-04,6.798367328520823647e-04,5.086637764322995275e-03
